PM6	15 years old group
PM7	189 white blood cells/ #
PM11	2.6 # 215 ; 1.8 cm irregular soft tissue mass
PM12	2.6 cm # 215 ; 1.8 cm irregular soft tissue mass
PM14	2006 acute kidney injury network
PM15	24 hour quantitative urine protein
PM16	3 or more normal pap tests
PM17	3 or more normal pap tests and no abnormal pap tests
PM18	4. chronic thyroiditis
PM20	5 terminal uracil
PM21	50 kda dystrophin associated glycoprotein
PM26	ab = abnormal gonad
PM29	aberrant default network functional activity
PM34	aberrant inflammatory response
PM35	aberrant inflammatory responses and autoimmunity
PM39	aberrant pyramidal tract
PM40	aberrant right hepatic duct
PM46	abnormal , low iron status
PM47	abnormal , seizure associated neuronal activity
PM48	abnormal 24 h fecal fat
PM51	abnormal abdominal fat accumulation
PM52	abnormal abdominal obesity
PM54	abnormal acc activity
PM55	abnormal acc responses
PM57	abnormal acid reflux
PM59	abnormal acrosome formation
PM60	abnormal acrosome formation and male infertility
PM61	abnormal actin accumulations
PM67	abnormal acylcarnitine
PM68	abnormal adenopathy
PM69	abnormal adipose tissue redistribution
PM70	abnormal adolescent eating behavior
PM71	abnormal aer levels
PM72	abnormal afp
PM74	abnormal ahr
PM76	abnormal airway inflammatory response
PM77	abnormal airway smooth muscle contraction
PM78	abnormal airway surface fluid
PM80	abnormal alanine aminotransferase
PM81	abnormal alanine transaminase
PM82	abnormal albino
PM83	abnormal albino phenotype
PM84	abnormal albino phenotypes
PM85	abnormal albumin excretion
PM86	abnormal albuminuria
PM88	abnormal alt
PM89	abnormal alt and ast
PM90	abnormal alt elevation
PM91	abnormal alt level
PM92	abnormal alt levels
PM93	abnormal amino acid metabolism
PM94	abnormal amniotic fluid
PM95	abnormal amygdala
PM96	abnormal amygdala responsiveness
PM97	abnormal and normal glucose regulation
PM101	abnormal anti angiogenic activity
PM102	abnormal anxiety
PM103	abnormal anxiety and abnormal depression
PM104	abnormal anxiety and depression
PM105	abnormal anxiety and especially abnormal depression
PM106	abnormal anxiety level
PM107	abnormal aorta
PM108	abnormal aortic valve thickening
PM113	abnormal app
PM114	abnormal app expression
PM116	abnormal arc expression
PM117	abnormal aromatic amino acid metabolism
PM119	abnormal articulations and repetitive joint loading
PM121	abnormal asm
PM122	abnormal ast
PM123	abnormal ast level
PM125	abnormal astrocytes
PM126	abnormal auditory brainstem response
PM127	abnormal autonomic nervous activity
PM128	abnormal autonomic nervous system morphology
PM129	abnormal autophagic vacuoles
PM130	abnormal axial diffusivity
PM131	abnormal axis
PM134	abnormal b cell activation
PM135	abnormal b cell development
PM136	abnormal b cell function
PM138	abnormal background aeeg activity
PM139	abnormal basal forebrain structure
PM140	abnormal basal ganglia
PM142	abnormal baseline glycemia and glucose intolerance
PM143	abnormal baseline pap test
PM145	abnormal basement membrane
PM146	abnormal beck depression inventory
PM150	abnormal beta catenin accumulation
PM151	abnormal beta catenin expression
PM152	abnormal bile acid metabolism
PM153	abnormal bile duct structure
PM154	abnormal bile ducts
PM155	abnormal biochemical androgen level
PM157	abnormal birth weight
PM158	abnormal bladder
PM159	abnormal bladder epithelial gene expression
PM160	abnormal bladder lesions
PM161	abnormal bleeding or bruising
PM162	abnormal bleeding tendency
PM171	abnormal blood clotting
PM172	abnormal blood counts
PM176	abnormal blood flow tcd velocities
PM181	abnormal blood lipid levels
PM182	abnormal blood lipids
PM183	abnormal blood lipids levels
PM186	abnormal blood pressure regulation
PM187	abnormal blood pressure response
PM188	abnormal blood pressure responses
PM189	abnormal blood tests
PM190	abnormal blood uric acid level
PM191	abnormal blood vessels
PM194	abnormal body composition
PM196	abnormal body fat
PM197	abnormal body fat distribution
PM199	abnormal body mass
PM200	abnormal body mass index
PM202	abnormal body positioning
PM203	abnormal body proportions
PM214	abnormal bone marrow
PM215	abnormal bone marrow cellularity
PM217	abnormal bone remodeling
PM218	abnormal bone remodelling
PM219	abnormal bone remodelling activity
PM220	abnormal bone resorption
PM221	abnormal bone structure
PM223	abnormal bowel function
PM225	abnormal bowel motility and malabsorption
PM231	abnormal brain development and perinatal death
PM233	abnormal brain function and seizures
PM234	abnormal brain imaging
PM235	abnormal brain magnetic resonance imaging
PM236	abnormal brain morphology
PM237	abnormal brain morphology 1011
PM238	abnormal brain mri
PM241	abnormal brain regions
PM243	abnormal brain structure
PM245	abnormal breast
PM246	abnormal breast antigen
PM248	abnormal breast cancer screening findings
PM251	abnormal breast tissue
PM252	abnormal bronchus
PM253	abnormal c reactive protein
PM254	abnormal calcifications
PM255	abnormal calcium cycling
PM257	abnormal cancer screen results
PM258	abnormal cancer screening
PM259	abnormal cancer screening examinations
PM260	abnormal cancer screening results
PM265	abnormal capillary supply and fibrosis
PM269	abnormal cartilage cell distribution
PM270	abnormal cartilage macroscopic changes and/or subchondral bone plate sclerosis
PM273	abnormal cdh1 methylation
PM279	abnormal cell cycle progression
PM281	abnormal cell development
PM282	abnormal cell differentiation
PM284	abnormal cell divisions
PM291	abnormal cell migration
PM294	abnormal cell population
PM297	abnormal cell proliferations
PM298	abnormal cell signaling
PM303	abnormal cell types
PM307	abnormal centrosome amplification
PM309	abnormal centrosome biology and tumorigenesis
PM310	abnormal centrosome duplication
PM311	abnormal centrosome duplication and aberrant mitotic spindle formation
PM316	abnormal cerebellar development
PM317	abnormal cerebellum control
PM323	abnormal cerebrospinal fluid
PM324	abnormal cervical cancer screening test
PM325	abnormal cervical cell dna samples
PM326	abnormal cervical cell samples
PM327	abnormal cervical screening tests and cervical histology
PM329	abnormal cga levels
PM334	abnormal chest radiograph or cough
PM343	abnormal chewing function
PM344	abnormal chloroplast protein accumulation
PM345	abnormal cholesterol and blood glucose levels
PM346	abnormal cholesterol level phenotype
PM347	abnormal cholesterol levels
PM348	abnormal chondrocyte activation
PM349	abnormal chondrocyte apoptosis
PM350	abnormal choreic movements
PM352	abnormal chromatin
PM358	abnormal chromosome number
PM363	abnormal ciliary function and low nasal nitric oxide
PM367	abnormal circulating insulin like growth factor
PM368	abnormal classification
PM373	abnormal clotting state
PM375	abnormal cognition
PM376	abnormal cognition vs. normal cognition
PM378	abnormal collagen
PM379	abnormal collagen 1 chains
PM381	abnormal collagen fibril morphology
PM382	abnormal collagen fibrils
PM384	abnormal collagen or connective tissue pathology
PM385	abnormal collagen type
PM387	abnormal colon epithelium
PM388	abnormal columnar esophageal epithelium
PM391	abnormal cone and rod amplitudes
PM392	abnormal cone electroretinogram
PM393	abnormal cone responses
PM396	abnormal conventional semen parameters
PM397	abnormal cord insertion
PM398	abnormal cornea
PM399	abnormal corneal surface staining
PM400	abnormal corneal tissue
PM401	abnormal corpus callosum
PM402	abnormal cortical lamination
PM404	abnormal cortical or basal ganglia signal
PM406	abnormal cough mechanics
PM407	abnormal craniofacial development
PM408	abnormal craniofacial development and/or cleft palate
